cty,sc,yr,wht,rce,crl_mze_str,sgr,swt_stm_alc,pls_nut_ocr_spc,vol,vgt,frt,cmt_rmt_omt,pmt,omt,mlk_dai_egg
RUS,SSP3,2100,0.12,-0.684,-0.258,0.188,0.078,0.089,0.157,0.425,0.324,0.132,0.65,0.132,0.123
RUS,SSP4,2015,0.127,-0.506,-0.243,0.222,0.08,0.092,0.167,0.502,0.367,0.192,0.698,0.192,0.129
RUS,SSP4,2050,0.122,-0.627,-0.254,0.198,0.079,0.09,0.16,0.441,0.334,0.146,0.662,0.146,0.124
RUS,SSP4,2100,0.115,-1.038,-0.271,0.179,0.076,0.087,0.15,0.382,0.299,0.087,0.614,0.087,0.118
RUS,SSP5,2015,0.127,-0.506,-0.243,0.222,0.08,0.092,0.167,0.502,0.367,0.192,0.698,0.192,0.129
RUS,SSP5,2050,0.121,-0.652,-0.256,0.186,0.078,0.089,0.158,0.434,0.329,0.139,0.656,0.139,0.123
RUS,SSP5,2100,0.109,-2.439,-0.284,0.159,0.075,0.085,0.145,0.352,0.281,0.05,0.585,0.05,0.115
ZAF,SSP1,2015,0.227,0.088,-0.068,0.222,0.093,0.096,0.284,1.098,0.701,0.192,0.535,0.192,0.324
ZAF,SSP1,2050,0.21,0.072,-0.067,0.19,0.09,0.093,0.259,0.811,0.57,0.133,0.512,0.133,0.292
ZAF,SSP1,2100,0.183,0.048,-0.064,0.165,0.085,0.088,0.223,0.569,0.433,0.019,0.473,0.019,0.248
ZAF,SSP2,2015,0.227,0.088,-0.068,0.222,0.093,0.096,0.284,1.098,0.701,0.192,0.535,0.192,0.324
ZAF,SSP2,2050,0.211,0.073,-0.068,0.194,0.091,0.093,0.261,0.828,0.578,0.138,0.514,0.138,0.295
ZAF,SSP2,2100,0.185,0.05,-0.065,0.168,0.086,0.088,0.225,0.582,0.441,0.028,0.476,0.028,0.251
ZAF,SSP3,2015,0.227,0.088,-0.068,0.222,0.093,0.096,0.284,1.098,0.701,0.192,0.535,0.192,0.324
ZAF,SSP3,2050,0.214,0.076,-0.068,0.2,0.091,0.094,0.265,0.866,0.598,0.148,0.518,0.148,0.3
ZAF,SSP3,2100,0.197,0.061,-0.066,0.188,0.088,0.09,0.242,0.68,0.499,0.085,0.495,0.085,0.271
ZAF,SSP4,2015,0.227,0.088,-0.068,0.222,0.093,0.096,0.284,1.098,0.701,0.192,0.535,0.192,0.324
ZAF,SSP4,2050,0.212,0.074,-0.068,0.198,0.091,0.093,0.261,0.831,0.58,0.139,0.514,0.139,0.295
ZAF,SSP4,2100,0.186,0.05,-0.065,0.179,0.086,0.088,0.227,0.588,0.445,0.033,0.478,0.033,0.252
ZAF,SSP5,2015,0.227,0.088,-0.068,0.222,0.093,0.096,0.284,1.098,0.701,0.192,0.535,0.192,0.324
ZAF,SSP5,2050,0.207,0.07,-0.067,0.186,0.09,0.092,0.255,0.779,0.553,0.123,0.508,0.123,0.287
ZAF,SSP5,2100,0.175,0.041,-0.063,0.159,0.084,0.086,0.214,0.522,0.403,-0.023,0.46,-0.023,0.237
TUR,SSP1,2015,0.124,-0.295,-0.304,0.222,0.129,0.011,0.129,0.245,0.214,0.582,0.958,0.582,0.117
TUR,SSP1,2050,0.116,-0.364,-0.336,0.19,0.123,0.011,0.123,0.223,0.197,0.378,0.8,0.378,0.111
TUR,SSP1,2100,0.112,-0.424,-0.359,0.165,0.119,0.011,0.119,0.212,0.189,0.287,0.738,0.287,0.108
TUR,SSP2,2015,0.124,-0.295,-0.304,0.222,0.129,0.011,0.129,0.245,0.214,0.582,0.958,0.582,0.117
TUR,SSP2,2050,0.117,-0.358,-0.334,0.194,0.123,0.011,0.123,0.224,0.198,0.389,0.808,0.389,0.112
TUR,SSP2,2100,0.112,-0.415,-0.356,0.168,0.12,0.011,0.12,0.213,0.19,0.298,0.746,0.298,0.109
TUR,SSP3,2015,0.124,-0.295,-0.304,0.222,0.129,0.011,0.129,0.245,0.214,0.582,0.958,0.582,0.117
TUR,SSP3,2050,0.117,-0.35,-0.33,0.2,0.124,0.011,0.124,0.226,0.2,0.407,0.821,0.407,0.112
TUR,SSP3,2100,0.113,-0.399,-0.35,0.188,0.12,0.011,0.12,0.216,0.192,0.32,0.76,0.32,0.109
TUR,SSP4,2015,0.124,-0.295,-0.304,0.222,0.129,0.011,0.129,0.245,0.214,0.582,0.958,0.582,0.117
TUR,SSP4,2050,0.116,-0.362,-0.335,0.198,0.123,0.011,0.123,0.223,0.197,0.382,0.803,0.382,0.111
TUR,SSP4,2100,0.112,-0.415,-0.356,0.179,0.12,0.011,0.12,0.213,0.19,0.299,0.746,0.299,0.109
TUR,SSP5,2015,0.124,-0.295,-0.304,0.222,0.129,0.011,0.129,0.245,0.214,0.582,0.958,0.582,0.117
TUR,SSP5,2050,0.115,-0.375,-0.341,0.186,0.122,0.011,0.122,0.22,0.195,0.357,0.785,0.357,0.111
TUR,SSP5,2100,0.108,-0.497,-0.383,0.159,0.116,0.011,0.116,0.203,0.182,0.218,0.696,0.218,0.106
USA,SSP1,2015,0.138,-0.106,-0.131,0.222,0.057,0.032,0.102,0.432,0.325,0.025,0.535,0.025,0.092
USA,SSP1,2050,0.134,-0.115,-0.132,0.19,0.056,0.031,0.1,0.396,0.305,-0.011,0.514,-0.011,0.09
USA,SSP1,2100,0.129,-0.124,-0.132,0.165,0.055,0.031,0.098,0.367,0.288,-0.046,0.494,-0.046,0.088
USA,SSP2,2015,0.138,-0.106,-0.131,0.222,0.057,0.032,0.102,0.432,0.325,0.025,0.535,0.025,0.092
USA,SSP2,2050,0.134,-0.113,-0.131,0.194,0.056,0.032,0.1,0.401,0.308,-0.005,0.518,-0.005,0.09
USA,SSP2,2100,0.131,-0.122,-0.132,0.168,0.056,0.031,0.098,0.375,0.292,-0.036,0.5,-0.036,0.089
USA,SSP3,2015,0.138,-0.106,-0.131,0.222,0.057,0.032,0.102,0.432,0.325,0.025,0.535,0.025,0.092
USA,SSP3,2050,0.135,-0.112,-0.131,0.2,0.056,0.032,0.101,0.408,0.312,0.002,0.522,0.002,0.09
